p = 0
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,naive policy 1/N portfolios,251,0.061157728358668624,0.4175289372548755,0.1464754245795798,0.4103585657370518,0.30796198447066614,0.5542374957259861,0.04811144752407179
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 0.5,251,0.047415656882198544,0.37170942683869146,0.12756108255165463,0.43824701195219123,0.2815289750015114,0.6015201612115415,0.039338203505584875
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,SAA_CVaR,251,0.05710062906807102,0.3926483541088029,0.14542434336105337,0.43824701195219123,0.29895641573233855,0.6216528840299714,0.039706463138976536
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Popescu 2007,251,0.04898063377562261,0.3753426381559078,0.13049578917084634,0.43824701195219123,0.2838592050150561,0.6110853637380836,0.03919645448359338
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Popescu 2 cluster portfolios (3factor),251,0.06887468861632035,0.3855148712407956,0.17865637295558615,0.41832669322709165,0.27821556405974057,0.537151646240977,0.04172928825736011
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Popescu 3 cluster portfolios (3factor),251,0.07904778463895827,0.4032347394786635,0.19603416298198423,0.4063745019920319,0.26619757010214373,0.49084441987564675,0.0459495361521397
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Popescu 4 cluster portfolios (3factor),251,0.07753118615662134,0.4029474513143791,0.19241016639693698,0.41434262948207173,0.2626012476263065,0.486031111790392,0.04612573523540647
p = 0.05
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,naive policy 1/N portfolios,251,0.06091660638671095,0.416500250615506,0.1462582706653552,0.4103585657370518,0.3074373471192011,0.5399938014902694,0.048000986351196824
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 0.5,251,0.04783242994567043,0.37206488153105427,0.1285593785386007,0.44223107569721115,0.2794430166324389,0.6118760767370749,0.039178199556045554
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,SAA_CVaR,251,0.05785876327890766,0.38804473638147985,0.14910333230761244,0.44223107569721115,0.2915559879132131,0.583761646259379,0.038998800979729804
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Popescu 2007,251,0.049211251435095305,0.3726792533597292,0.13204719874114934,0.43824701195219123,0.2819335563690665,0.6133194777436035,0.038731792807013624
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Popescu 2 cluster portfolios (3factor),251,0.06580656507232381,0.37958637138648194,0.1733638771907377,0.4342629482071713,0.2670028018104423,0.5417069862808742,0.04123133971611559
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Popescu 3 cluster portfolios (3factor),251,0.07855712639043966,0.40258315773585,0.19513266981224273,0.3944223107569721,0.27412229948940436,0.491908265297863,0.04601793861453936
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Popescu 4 cluster portfolios (3factor),251,0.0777994020274743,0.40208048300916355,0.19349211243785047,0.398406374501992,0.2720870280647281,0.47971765834944474,0.04597951442185839
p = 0.1
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,naive policy 1/N portfolios,251,0.06067548441475327,0.4155144519256404,0.1460249676841845,0.4103585657370518,0.306912709767736,0.5390536465224409,0.04798006697693531
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 0.5,251,0.047736886537200575,0.3716584136395609,0.12844290559636412,0.44223107569721115,0.27917120156493325,0.6118760889015823,0.03917819976686273
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,SAA_CVaR,251,0.05610311007320185,0.3862756510190552,0.14524112489408308,0.44223107569721115,0.29206031582660874,0.6030164235272065,0.03874856173584243
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Popescu 2007,251,0.04868023870236698,0.3718297586989753,0.13092077103429844,0.43824701195219123,0.2818273286080369,0.6100413847009769,0.03865877073751466
